효능군,품목명
당뇨병용제,글루코바이정100밀리그람(아카보즈)_(0.1g/1정)
당뇨병용제,글루코바이정50밀리그람(아카보즈)_(50mg/1정)
호흡기관용약,아이프린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아케로캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아로필립캡슐100mg(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세필엠캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세브로핀캡슐100밀리그램(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아포린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세필린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,설포라제캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세브로캡슐100mg(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,설포피린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,필리콜캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,에스브론캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,설포론캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,설피리젠캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,부로필캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세펙트캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세필캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아시브로캡슐100밀리그램(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,뮤코테인캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세브닐캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,안국아세브로필린캡슐_(0.1g/1캡슐)
호흡기관용약,설포세린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,브로필린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,설포린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,뉴세필캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세브로필캡슐100밀리그램(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,세로필캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,브로세린캡슐100밀리그램(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,설포스캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,네오브론캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세브론캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,뮤코시린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,유니브로필린캡슐100밀리그램(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,에이스필캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세브린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,브로니즈캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세라제캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세론캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아세포린캡슐100밀리그램(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,글로필린캡슐(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,아셀리온캡슐100밀리그램(아세브로필린)_(0.1g/1캡슐)
호흡기관용약,대웅바이오아세브로필린캡슐100밀리그램_(0.1g/1캡슐)
호흡기관용약,설포라제CR서방정(아세브로필린) _(0.2g/1정)
해열진통소염제,에이서캡슐(아세클로페낙)_(0.1g/1캡슐)
해열진통소염제,클란자에스연질캡슐(아세클로페낙)(수출명:SpeenacSoftCaps.)_(0.1g/1캡슐)
해열진통소염제,로페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,케페낙정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세크릴정(아세클로페낙)_(0.1g/1정)
해열진통소염제,오스템아세클로페낙정_(0.1g/1정)
해열진통소염제,뉴세페낙정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,코스페낙정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세클론정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세진정(아세클로페낙)_(0.1g/1정)
해열진통소염제,독립아세클로페낙정_(0.1g/1정)
해열진통소염제,세로탈정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세티정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세요정(아세클로페낙)_(0.1g/1정)
해열진통소염제,메가클로페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세팜정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,아페민정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세티론정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아페락정(아세클로페낙)_(0.1g/1정)
해열진통소염제,신텍클로페낙정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세로낙정(아세클로페낙)_(0.1g/1정)
